표준키,키유형,TMS_견적코드,매칭방식,매칭신뢰도,검증상태,근거
"""클립아트펜",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""킵세이프마그넷배터리",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""톤앤톤쿨러백(단품)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""트리플컬러펜∣JETSTREAM",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""페이퍼샤쉐1- 워터폴 - 네이비커버",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""펠트스트링파우치 키트",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""포시즌블랭킷(무릎담요)",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""포시즌티셔츠",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""폴더블 텀블러 실크",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""풀커버스프링노트",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""프레젠트골프공3구",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""프리미엄린넨샤쉐",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""플러스멀티충전스테이션",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""피규어주차번호판",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""하이킹폴딩방석",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
"""핸디링미니선풍기",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
"""헬로카드형USB",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""홈카페코스터",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"""히트업손난로보조배터리",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
( 34박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
( 3박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(+ 피크닉매트+캐리미와인잔),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(+러그+포시즌블랭킷+코스터+아이콘콜드컵),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(100매) set,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(11),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(11박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"(12)""",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(12박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(13박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(14),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(15box),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(16박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(1box),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(1박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=15
(2),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(2)5),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(20박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(230),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(23박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(240),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(250),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(25박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(260),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(26박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(270),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(2XL),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
(2박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(3),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(35박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(3L),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(3L)40,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(3XL),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(3박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
(4L),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(4L)30,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(4box),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(4박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(5L),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
(5L)10,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(5박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(6BOX),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(6box),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(6개입 * 42박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(7박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
(8,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(8),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(8묶음),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(8박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(8핀,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(8핀),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(9박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(A,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(L),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=8
(LL),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(LL)20,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(M),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(O형링205),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(PNA37363-프라이머스케이),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(PNA38406-여기어때),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(PNA50147-텐텍),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=14
(S),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(XL ),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(XL),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(개별),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(광주),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(구버전156),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(기존로고)150,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(내부 확인용 선출고),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(다이어리-레드)50,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(다이어리-블루)55,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(다이어리없음)30,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(단발머리),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(데코스티커없음 키트1개포함),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(뚜껑),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(롤),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(바디),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(벌크전달),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(보관),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(블루),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(블리스터310+배경지310포함),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(샘플),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(스와치동봉),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(스타트씨드키트 500),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(스티커 미부착,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(스티커 부착),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(슬리브 X),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(슬리퍼 사이즈 240-,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(신버전110,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(여분),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
(여유),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(외박스,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(울산과학기술원),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(일산),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(잔여분:내추럴노트3),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(잔여분:캘린더12),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(잔여분클립아트펜1,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(재임가공),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(재제작),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(주문서,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(짧은머리),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(창원),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(테스트용),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(투명손잡이백 + 스티커)50,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(포시즌티셔츠-L) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(포시즌티셔츠-M) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(포시즌티셔츠-S) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(포시즌티셔츠-XL) -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(포항공과대학교),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(풀필먼트(보관)),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(한번에 벌크박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
(합포장 1),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
(합포장 1박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=8
(합포장 2),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
(합포장),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
(화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
(화이트컬러),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
*,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
* 1 중,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
* 24 box,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
* 32 box,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
* 7box,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
+ 벨벳화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
+ 여분,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=7
+ 여분수량(발생시),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
+ 여유,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
+ 여유 (마곡),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
+ 여유분,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
+ 여유수량,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
+PLAY짐색1),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
+PLAY짐색2),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
+PLAY짐색4),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
+PLAY짐색8),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
+스탠드업 칫솔 화이트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
+여분,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
+여유분,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
+잔여분(레더스킨다이어리1,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
+잔여분(브랜드잇1,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
- (1박스),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
- 목동,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
- 워터폴 - 네이비커버,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
- 중,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
- 투스칸오렌지 - 오렌지커버,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
- 하얀주공,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
- 화이트티엔타임 - 핑크커버,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
"- 화이트티엔타임 - 핑크커버""",굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
-240 :,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
-260 :,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
-270 :,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
-280 :,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
-295 :,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
-> PNA50453-피닉스다트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
010-7275-9469,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
1,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
1 * 1 중,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
1 * 1 중대형,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
1. VIP 키트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
1. 스탠리 보틀 미포함(320set),굿즈명,STLS,유사,0.40,보류,jaccard score=0.40 freq=1
1. 스탠리 보틀이 포함된 키트 (160set),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
1. 콜드컵+스포츠타올 (박스지지대 미포함) 11세트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
1. 콜드컵+스포츠타올 (박스지지대 미포함) 3세트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
100 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
1000권이상),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=8
105 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
110 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
115 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
12 * 1 대,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
120 -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
14개포함),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
150,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
15개입 *,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
17개포함),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
19곳으로 출고 예정,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
1봉지,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2 * 1 중,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2. 쇼핑백(160개),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2. 패키징 웰컴키트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2.  스탠리 보틀이 포함된 키트 (90set),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
20 * 1 특대,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
20 * 2 특대,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
20(여분),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
200,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2023_12_18_포트폴리오 발송,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2023ver),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
2024-06-24-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-07-15-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-07-29-쇼룸,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-07-29-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-10-07-쇼룸,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-10-21-쇼룸,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-10-21-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-10-28-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-11-04-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-11-11-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-11-18-쇼룸,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-11-18-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2024-12-23-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2025-01-06-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2025-01-20-쇼룸,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2025-01-20-쏘리키트,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2025-02-17-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2025-03-04-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2025-03-17-포트폴리오,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2025-05-19-쇼룸,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
20개입 *,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
230 사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
230),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
240 사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
240),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
250 사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
250),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
250사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
260 사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
260),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
270 : 100개) + 데코스티커,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
270 사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=5
270),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
270-152개),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
270사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
28),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
280 5개)),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
280 사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=4
280),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
280사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
290 사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
290),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
290사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
295 사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2L : 12장,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2XL,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=9
2XL -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2XL 사이즈,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=11
2XL(5),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2XL),굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
2XL8,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2롤,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2봉지,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
2종 1) * 1 중대,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
3,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=2
3. 단품 포장,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
3. 쇼핑백,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
3031,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=1
3L,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=7
3L -,굿즈명,,수기,0.00,보류,unmatched score=0.00 freq=3
